Source,Target,Weight
000nox,AghBahman,1
000nox,boiereihan,1
000nox,mmoeeni,2
00kennyy,Saeed0f,1
00kennyy,fiureh,2
01101011_011100,Alone_Solipsist,1
01BinarySoul,lTheMightyMl,1
021babak,khabarbin,1
021jupiter,samanehabibiii,3
07Nomos,Lutherking4U,2
07Nomos,Rayan9717,1
0FVV8ptSdVmkRuP,0FVV8ptSdVmkRuP,1
0GIvz3OaaPzv0l8,FaranakAzad1,1
0Retweeted,Alirezahse,5
0Retweeted,E_ALIPOOR2,1
0Retweeted,Reihaneasgari,2
0Retweeted,Rohan_IR,1
0Retweeted,behranvand,1
0Retweeted,deymahi76,2
0Retweeted,kal_keley,1
0Retweeted,maragheh_313m,2
0Retweeted,reyhan_r2572,1
0Retweeted,sayeneshiiin,2
0Retweeted,somi_morovati,2
0Retweeted,sydrazi,2
0Retweeter,cyber03130,2
0Retweeter,hosseini_info,2
0Retweeter,m_khodaverdian,2
0TIXHHG96EI5KtK,shayan_shahnazi,1
0fM0nteCrist0,alimojtahedzade,2
0jbEReO6XZTYrLp,A_poormasood,1
0kbashe,AghBahman,1
0kermanshahi007,RefaeiMahdi,2
0kermanshahi007,YaarDabestaani,4
0kermanshahi007,mortezaesmilpor,1
0u9IxZLnw4VKk7r,Fakhravar,1
0x__dead,AMG97988771,1
0x__dead,Godlessam,1
0x__dead,ahmatagha,2
0x__dead,haghnegar,2
100barg,Javanmardi75,1
100barg,sh_iranii_iii,1
101gholami,narangi_,2
101gholami,sadegh_tehrani,2
110sayyad110,givehki,2
11o_nim,I6_6_6I,1
11o_nim,WinsWolfe,1
12gandi,shayan_shahnazi,1
133Rezvani,rahimporazghadi,3
133Rezvani,torkaman_m,1
1351Alireza,ParthianE,3
1351Alireza,homa53387030,1
1351Alireza,smartrobott,3
1352j,mortezaesmilpor,1
1364Baran,Emohammadi8,2
1364Baran,GhAbdollahi313,2
1364Baran,RashiiidAzari,2
1364Baran,emad_ameri,2
1364Baran,mohamad_h_s,3
1364Baran,somi_morovati,2
1369khakbary,shahabsmam,1
1394nasim,bicaran,2
1394nasim,esfahani07498,2
1394nasim,khorammanesh,1
1394nasim,mmaahhdi44,2
1394nasim,mojtabarajabi26,1
1394nasim,workernioc,2
1397_sara,yasin123345,2
1398Ho,goolnakhor2,1
1398Ho,heisenbeg,2
14KUMAIL,Bisimchiimedia,1
15_mamad,potanciel,1
17Alio17,26Mammadov,1
1877Nima,bikaranejaan,1
1970ahmadian,kamyar_sabahi,1
1982tabriz,e_k_azad,2
1987Mohad,MostafaPirhaya3,2
198_sobhan,Milad96_Rahmani,2
198_sobhan,Nika_M97,1
198_sobhan,Shokranebanoo,2
198_sobhan,bachetiroon,1
1995Civil,Masoudbassiri,2
1995Civil,pakhmekhan,1
1995Civil,sajjad_rezaei12,2
1995_mol,Gavrch,1
1Bad_Khat,Mr_lanturi,1
1Barandaz,Godlessam,1
1Barandaz,MrDariushZand,1
1Barandaz,SaberBostaniAsl,1
1Barandaz,TheIntangibles,1
1Barandaz,Tyler_3xT,1
1Barandaz,alirezakiani2,1
1Barandaz,dnravi23,1
1Barandaz,erfan_kasraie,1
1Barandaz,kamranayazi69,1
1Barandaz,sh_iranii_iii,1
1DqSV9U8YEnk7NI,kimsesiz_bey,1
1M_mehdi_B7,khanom_sad,1
1Zartosht,EbneHava,1
1haddiseshoon,bikaranejaan,1
1ife_st0ry,WinsWolfe,1
1jangjo,Babak_1992,2
1jangjo,smartrobott,3
1jo5XsMeuhpsp57,ahmatagha,2
1jo5XsMeuhpsp57,kingofk_kings,1
1jo5XsMeuhpsp57,william5wallase,2
1manoosh1,jimmishh,1
1mskv9,PEDIiISH,1
1twiteruser,Grzecznyhastam,1
1twiteruser,Pari03580542,1
2000dariush,searusM,1
20066Farzan,Afraafrasb,1
2006_lebanon,Hajsaaleh,2
2006_lebanon,kal_keley,1
2018_bahar,Maryam_Rajavi_P,1
2018_bahar,hambastegi_meli,1
2018_bahar,simayazaditv,1
2020AZADI,MozdurShenas,2
2020AZADI,YaarDabestaani,4
232babate,Aleksandra6712,1
2500Years,alirezakiani2,1
27masouda,bikaranejaan,1
29morgh,mahlagha_hs,1
2Kohestan,Lutherking4U,1
2Kohestan,smartrobott,3
2Nmira,EbneHava,1
2Nmira,ZahraJafarniya,1
2Nmira,amiramiri164,5
2Nmira,baranbahary1333,2
2Nmira,emad_sh_74,1
2Nmira,fariba139701,2
2PeggMRD,ZiaNabavi1,2
2XR1qsCli5v9fko,ShKiism,2
2_goleyas,Sasan_Soroosh,2
2_goleyas,aflakaflaki,1
2_goleyas,ashtary57,3
2_goleyas,dr_moosavi,2
2_goleyas,rajavi_m,1
2_zahra_2,ZahraJafarniya,2
2ayyy,haghnegar,2
2ayyy,khabarbin,1
2ayyy,sheshgalani,2
2darebaz,s_mhajiabadi,2
2lightseeker,TohidAzizi1357,2
2nJose,mortezaesmilpor,1
30Na_ra,mortezaesmilpor,1
30laam,AghBahman,1
30na60,BacheGorbe,1
30na60,Lutherking4U,1
30second_so,Lutherking4U,1
30talopram,WinsWolfe,1
30talopram,kamranayazi69,1
313Hamidreza,A_poormasood,1
313Mahdiyaar,KhodadadiZohreh,2
313Mahdiyaar,Mahdiyaar313,3
313Solder,F6sadeghi,2
313Solder,Nvd3141,3
313Solder,RW26nxioRVAC5iN,1
313Solder,URFMcwot3pRzD1a,1
313Solder,mehdiahmadi110,3
3242832428mgh,haghnegar,2
3242832428mgh,shayan_shahnazi,1
33salegi,33salegi,2
33salegi,Aliei96,2
33salegi,Bna_am,1
33salegi,mebrahimi123,1
