Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
000nox,,,0,3,3,0,4,4,1,1,1,0,77,0.00018
AghBahman,,,16,0,16,16,0,16,0,0,0,0,77,0.00217
boiereihan,,,2,0,2,2,0,2,0,0,0,0,77,0.000309
mmoeeni,,,9,0,9,18,0,18,0,0,0,0,77,0.001049
00kennyy,,,0,2,2,0,3,3,1,1,1,0,18,0.00018
Saeed0f,,,6,0,6,6,0,6,0,0,0,0,18,0.000717
fiureh,,,5,0,5,6,0,6,0,0,0,0,18,0.000482
01101011_011100,,,0,1,1,0,1,1,1,1,1,0,18,0.00018
Alone_Solipsist,,,2,0,2,2,0,2,0,0,0,0,18,0.000386
01BinarySoul,,,0,1,1,0,1,1,1,1,1,0,0,0.00018
lTheMightyMl,,,1,0,1,1,0,1,0,0,0,0,0,0.000334
021babak,,,0,1,1,0,1,1,1,1,1,0,18,0.00018
khabarbin,,,27,0,27,34,0,34,0,0,0,0,18,0.001745
021jupiter,,,0,1,1,0,3,3,1,1,1,0,95,0.00018
samanehabibiii,,,10,0,10,30,0,30,0,0,0,0,95,0.000541
07Nomos,,,0,2,2,0,3,3,1,1,1,0,18,0.00018
Lutherking4U,,,52,0,52,90,0,90,0,0,0,0,18,0.003753
Rayan9717,,,6,0,6,6,0,6,0,0,0,0,18,0.000629
0FVV8ptSdVmkRuP,,,1,1,2,1,1,2,0,0,0,0,1,0.00018
0GIvz3OaaPzv0l8,,,0,1,1,0,1,1,1,1,1,0,2,0.00018
FaranakAzad1,,,1,0,1,1,0,1,0,0,0,0,2,0.000334
0Retweeted,,,0,12,12,0,22,22,2,0.875,0.928571,0,95,0.00018
Alirezahse,,,10,4,14,24,13,37,1,1,1,23,95,0.000422
E_ALIPOOR2,,,2,2,4,2,2,4,1,1,1,0,95,0.000193
Reihaneasgari,,,9,0,9,18,0,18,0,0,0,0,95,0.000737
Rohan_IR,,,8,0,8,8,0,8,0,0,0,0,95,0.000719
behranvand,,,2,0,2,2,0,2,0,0,0,0,95,0.000246
